FECHA,18-29,30-39,40-50,<18,>50,NO REPORTADO,FEMENINO,MASCULINO,NO REPORTA,TOTAL
2015-08-01,459.0,266.0,150.0,79.0,110.0,3.0,86.0,981.0,0.0,1067
2015-09-01,468.0,245.0,108.0,57.0,89.0,3.0,77.0,893.0,0.0,970
2015-10-01,391.0,214.0,123.0,66.0,73.0,8.0,77.0,798.0,0.0,875
2015-11-01,457.0,272.0,134.0,73.0,116.0,3.0,82.0,973.0,0.0,1055
2015-12-01,521.0,301.0,180.0,75.0,121.0,6.0,101.0,1103.0,0.0,1204
2016-01-01,456.0,275.0,135.0,96.0,117.0,0.0,92.0,987.0,0.0,1079
2016-02-01,383.0,238.0,141.0,42.0,98.0,0.0,69.0,833.0,0.0,902
2016-03-01,404.0,264.0,153.0,55.0,99.0,0.0,94.0,881.0,0.0,975
2016-04-01,435.0,260.0,139.0,62.0,89.0,0.0,83.0,902.0,0.0,985
2016-05-01,482.0,246.0,145.0,66.0,104.0,0.0,72.0,971.0,0.0,1043
2016-06-01,408.0,278.0,162.0,59.0,96.0,0.0,88.0,915.0,0.0,1003
2016-07-01,464.0,285.0,118.0,47.0,113.0,0.0,82.0,945.0,0.0,1027
2016-08-01,439.0,249.0,138.0,57.0,111.0,0.0,86.0,908.0,0.0,994
2016-09-01,415.0,248.0,142.0,66.0,96.0,0.0,82.0,885.0,0.0,967
2016-10-01,487.0,269.0,133.0,61.0,98.0,0.0,77.0,971.0,0.0,1048
2016-11-01,449.0,269.0,141.0,66.0,96.0,0.0,92.0,929.0,0.0,1021
2016-12-01,463.0,277.0,177.0,54.0,124.0,0.0,116.0,979.0,0.0,1095
2017-01-01,423.0,281.0,156.0,73.0,109.0,0.0,77.0,965.0,0.0,1042
2017-02-01,394.0,233.0,130.0,59.0,63.0,0.0,82.0,797.0,0.0,879
2017-03-01,404.0,212.0,148.0,57.0,90.0,0.0,78.0,833.0,0.0,911
2017-04-01,413.0,264.0,139.0,70.0,107.0,0.0,102.0,891.0,0.0,993
2017-05-01,460.0,246.0,135.0,63.0,134.0,0.0,106.0,932.0,0.0,1038
2017-06-01,383.0,224.0,133.0,68.0,89.0,0.0,86.0,811.0,0.0,897
2017-07-01,472.0,277.0,138.0,81.0,111.0,0.0,89.0,990.0,0.0,1079
2017-08-01,421.0,248.0,136.0,57.0,89.0,0.0,80.0,871.0,0.0,951
2017-09-01,377.0,228.0,139.0,53.0,117.0,0.0,66.0,848.0,0.0,914
2017-10-01,474.0,256.0,129.0,47.0,113.0,0.0,96.0,923.0,0.0,1019
2017-11-01,437.0,237.0,166.0,68.0,129.0,0.0,97.0,940.0,0.0,1037
2017-12-01,532.0,305.0,165.0,68.0,135.0,0.0,102.0,1103.0,0.0,1205
